tissue,health_state,set,network_name,network_code,pathway,count
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Aflatoxin biosynthesis,1
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,"Alanine, aspartate and glutamate metabolism",16
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,alpha-Linolenic acid metabolism,14
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Aminoacyl-tRNA biosynthesis,1
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Aminobenzoate degradation,6
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Amino sugar and nucleotide sugar metabolism,26
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Arachidonic acid metabolism,16
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Arginine and proline metabolism,21
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Arginine biosynthesis,8
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Ascorbate and aldarate metabolism,7
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Benzoate degradation,9
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,beta-Alanine metabolism,24
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Betalain biosynthesis,6
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Biosynthesis of antibiotics,115
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Biosynthesis of secondary metabolites,191
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Biosynthesis of unsaturated fatty acids,25
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Biotin metabolism,5
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Butanoate metabolism,11
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,C5-Branched dibasic acid metabolism,1
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Caffeine metabolism,4
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Caprolactam degradation,8
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Carbon fixation in photosynthetic organisms,10
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Carbon fixation pathways in prokaryotes,26
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Chloroalkane and chloroalkene degradation,8
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Citrate cycle (TCA cycle),26
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Cyanoamino acid metabolism,5
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Cysteine and methionine metabolism,13
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,D-Glutamine and D-glutamate metabolism,4
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Drug metabolism - cytochrome P450,19
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Drug metabolism - other enzymes,41
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Ether lipid metabolism,7
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Ethylbenzene degradation,4
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Fatty acid biosynthesis,14
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Fatty acid degradation,37
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Fatty acid elongation,24
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Flavone and flavonol biosynthesis,1
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Folate biosynthesis,5
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Fructose and mannose metabolism,16
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Galactose metabolism,23
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Geraniol degradation,8
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Glutathione metabolism,25
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Glycerolipid metabolism,19
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Glycerophospholipid metabolism,18
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,"Glycine, serine and threonine metabolism",20
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Glycolysis / Gluconeogenesis,58
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,6
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Glycosaminoglycan biosynthesis - heparan sulfate / heparin,2
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Glycosaminoglycan biosynthesis - keratan sulfate,2
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Glycosaminoglycan degradation,11
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Glycosphingolipid biosynthesis - ganglio series,12
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Glycosphingolipid biosynthesis - globo and isoglobo series,6
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Glycosphingolipid biosynthesis - lacto and neolacto series,7
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Glyoxylate and dicarboxylate metabolism,26
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Histidine metabolism,16
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Inositol phosphate metabolism,19
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Insect hormone biosynthesis,6
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Isoquinoline alkaloid biosynthesis,8
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Limonene and pinene degradation,9
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Linoleic acid metabolism,6
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Lysine biosynthesis,1
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Lysine degradation,18
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Mannose type O-glycan biosynthesis,1
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Metabolic pathways,362
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Metabolism of xenobiotics by cytochrome P450,20
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Methane metabolism,9
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Microbial metabolism in diverse environments,117
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Mucin type O-glycan biosynthesis,3
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Naphthalene degradation,2
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,"Neomycin, kanamycin and gentamicin biosynthesis",13
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,N-Glycan biosynthesis,2
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Nicotinate and nicotinamide metabolism,21
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Nitrogen metabolism,4
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Novobiocin biosynthesis,5
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,One carbon pool by folate,8
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Other glycan degradation,4
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Other types of O-glycan biosynthesis,1
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Oxidative phosphorylation,5
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Pantothenate and CoA biosynthesis,6
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Pentose and glucuronate interconversions,5
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Pentose phosphate pathway,9
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Phenylalanine metabolism,17
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,"Phenylalanine, tyrosine and tryptophan biosynthesis",5
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Phenylpropanoid biosynthesis,1
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Porphyrin and chlorophyll metabolism,3
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Primary bile acid biosynthesis,2
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Propanoate metabolism,20
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Purine metabolism,69
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Pyrimidine metabolism,55
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Pyruvate metabolism,44
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Retinol metabolism,9
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Riboflavin metabolism,2
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Secondary bile acid biosynthesis,1
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Selenocompound metabolism,2
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Sphingolipid metabolism,10
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Starch and sucrose metabolism,20
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Steroid biosynthesis,3
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Steroid hormone biosynthesis,10
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Streptomycin biosynthesis,17
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Sulfur metabolism,3
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Synthesis and degradation of ketone bodies,1
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Taurine and hypotaurine metabolism,8
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Terpenoid backbone biosynthesis,3
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Thiamine metabolism,2
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Toluene degradation,1
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,"Tropane, piperidine and pyridine alkaloid biosynthesis",6
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Tryptophan metabolism,28
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Tyrosine metabolism,23
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Ubiquinone and other terpenoid-quinone biosynthesis,2
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,"Valine, leucine and isoleucine biosynthesis",2
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,"Valine, leucine and isoleucine degradation",23
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Various types of N-glycan biosynthesis,1
Breast,Cancer,MDS,Breast_Cancer_MDS,BCM,Vitamin B6 metabolism,1
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Aflatoxin biosynthesis,2
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,"Alanine, aspartate and glutamate metabolism",17
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,alpha-Linolenic acid metabolism,254
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Aminoacyl-tRNA biosynthesis,19
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Aminobenzoate degradation,128
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Amino sugar and nucleotide sugar metabolism,34
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Arachidonic acid metabolism,82
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Arginine and proline metabolism,66
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Arginine biosynthesis,7
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Ascorbate and aldarate metabolism,11
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Benzoate degradation,281
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,beta-Alanine metabolism,151
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Betalain biosynthesis,17
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Biosynthesis of ansamycins,2
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Biosynthesis of antibiotics,456
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Biosynthesis of secondary metabolites,790
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Biosynthesis of unsaturated fatty acids,230
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Biotin metabolism,21
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Butanoate metabolism,204
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Caffeine metabolism,36
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Caprolactam degradation,192
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Carbapenem biosynthesis,2
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Carbon fixation in photosynthetic organisms,11
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Carbon fixation pathways in prokaryotes,208
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Chloroalkane and chloroalkene degradation,20
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Citrate cycle (TCA cycle),18
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,"Cutin, suberine and wax biosynthesis",1
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Cyanoamino acid metabolism,4
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Cysteine and methionine metabolism,33
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,D-Alanine metabolism,1
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,D-Arginine and D-ornithine metabolism,1
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,D-Glutamine and D-glutamate metabolism,1
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Drug metabolism - cytochrome P450,108
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Drug metabolism - other enzymes,65
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Ether lipid metabolism,22
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Ethylbenzene degradation,92
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Fatty acid biosynthesis,169
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Fatty acid degradation,643
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Fatty acid elongation,400
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Flavone and flavonol biosynthesis,7
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Folate biosynthesis,49
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Fructose and mannose metabolism,26
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Galactose metabolism,28
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Geraniol degradation,280
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Glucosinolate biosynthesis,3
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Glutathione metabolism,59
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Glycerolipid metabolism,116
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Glycerophospholipid metabolism,104
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,"Glycine, serine and threonine metabolism",70
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Glycolysis / Gluconeogenesis,65
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,8
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Glycosaminoglycan biosynthesis - heparan sulfate / heparin,4
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Glycosaminoglycan biosynthesis - keratan sulfate,8
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Glycosaminoglycan degradation,35
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Glycosphingolipid biosynthesis - ganglio series,17
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Glycosphingolipid biosynthesis - globo and isoglobo series,36
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Glycosphingolipid biosynthesis - lacto and neolacto series,38
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,2
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Glyoxylate and dicarboxylate metabolism,12
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Histidine metabolism,59
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Inositol phosphate metabolism,23
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Insect hormone biosynthesis,9
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Isoquinoline alkaloid biosynthesis,44
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Limonene and pinene degradation,101
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Linoleic acid metabolism,43
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Lipoic acid metabolism,5
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Lysine biosynthesis,3
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Lysine degradation,219
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Mannose type O-glycan biosynthesis,8
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Metabolic pathways,1528
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Metabolism of xenobiotics by cytochrome P450,112
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Methane metabolism,19
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Microbial metabolism in diverse environments,458
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Monobactam biosynthesis,2
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Mucin type O-glycan biosynthesis,10
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Naphthalene degradation,9
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,"Neomycin, kanamycin and gentamicin biosynthesis",2
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,N-Glycan biosynthesis,28
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Nicotinate and nicotinamide metabolism,25
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Nitrogen metabolism,2
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Novobiocin biosynthesis,6
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,One carbon pool by folate,24
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Other glycan degradation,14
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Other types of O-glycan biosynthesis,2
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Oxidative phosphorylation,1
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Pantothenate and CoA biosynthesis,22
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Pentose and glucuronate interconversions,20
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Pentose phosphate pathway,22
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Phenylalanine metabolism,155
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,"Phenylalanine, tyrosine and tryptophan biosynthesis",7
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Phenylpropanoid biosynthesis,6
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Phosphonate and phosphinate metabolism,5
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Porphyrin and chlorophyll metabolism,22
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Primary bile acid biosynthesis,41
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Propanoate metabolism,132
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Purine metabolism,67
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Pyrimidine metabolism,60
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Pyruvate metabolism,33
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Retinol metabolism,60
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Riboflavin metabolism,9
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Secondary bile acid biosynthesis,5
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Selenocompound metabolism,8
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Sesquiterpenoid and triterpenoid biosynthesis,2
