R_HMR_3907	v1952	1.1.1.2
R_HMR_4099	v2042	6.2.1.1
R_HMR_4137	v2069	1.2.4.1
R_HMR_4137	v2069	2.3.1.12
R_HMR_4137	v2069	1.8.1.4
R_HMR_4137	v2069	1.2.1.51
R_HMR_4388	v2201	1.1.1.27
R_HMR_4283	v2149	1.2.1.4
R_HMR_4283	v2149	1.2.1.5
R_HMR_4301	v2157	2.7.1.11
R_HMR_4355	v2187	4.1.2.13
R_HMR_4358	v2188	2.7.1.40
R_HMR_4360	v2189	1.2.1.49
R_HMR_4368	v2191	2.7.2.3
R_HMR_4381	v2196	5.3.1.9
R_HMR_4391	v2203	5.3.1.1
R_HMR_4394	v2205	2.7.1.1
R_HMR_4394	v2205	2.7.1.2
R_HMR_4394	v2205	2.7.1.147
R_HMR_4396	v2206	5.4.2.2
R_HMR_4396	v2206	5.4.2.5
R_HMR_4396	v2206	5.4.2.6
R_HMR_4396	v2206	5.2.2.2
R_HMR_7745	v3597	5.1.3.3
R_HMR_7746	v3598	2.7.1.1
R_HMR_7746	v3598	2.7.1.2
R_HMR_7748	v3600	5.3.1.9
R_HMR_4122	v2057	1.1.1.22
R_HMR_4131	v2064	2.7.7.12
R_HMR_4415	v2216	3.2.1.23
R_HMR_4415	v2216	3.2.1.108
R_HMR_4319	v2164	2.7.1.1
R_HMR_4490	v2259	2.7.1.1
R_HMR_1568	v706	1.2.1.4
R_HMR_1568	v706	1.2.1.5
R_HMR_3857	v1931	3.1.2.6
R_HMR_3859	v1933	1.1.2.4
R_HMR_4087	v2038	1.1.1.38
R_HMR_4087	v2038	1.1.1.39
R_HMR_4091	v2039	1.1.1.38
R_HMR_4091	v2039	1.1.1.40
R_HMR_4093	v2040	3.1.2.1
R_HMR_4095	v2041	3.1.2.1
R_HMR_4101	v2043	4.1.1.32
R_HMR_4103	v2044	4.1.1.32
R_HMR_4143	v2072	6.4.1.1
R_HMR_4193	v2106	2.7.1.40
R_HMR_8501	v3853	1.1.1.79
R_HMR_8501	v3853	1.1.1.81
R_HMR_8512	v3863	1.1.2.4
R_HMR_8514	v3865	1.1.2.4
R_HMR_0153	v20	6.2.1.17
R_HMR_0153	v20	6.2.1.1
R_HMR_0153	v20	3.1.2.2
R_HMR_4105	v2045	4.1.1.9
R_HMR_4106	v2046	4.1.1.9
R_HMR_4354	v2186	5.4.2.2
R_HMR_4354	v2186	5.4.2.7
R_HMR_4567	v2299	2.7.1.11
R_HMR_3998	v1992	3.6.1.5
R_HMR_3998	v1992	3.6.1.6
R_HMR_4000	v1994	4.6.1.1
R_HMR_4002	v1995	2.7.4.3
R_HMR_4010	v1999	3.1.3.5
R_HMR_4082	v2034	3.1.3.5
R_HMR_4012	v2000	2.7.1.20
R_HMR_4012	v2000	2.7.1.74
R_HMR_4020	v2004	2.7.4.8
R_HMR_4022	v2005	4.6.1.1
R_HMR_4022	v2005	4.6.1.2
R_HMR_4040	v2014	1.1.1.205
R_HMR_4085	v2037	2.4.2.7
R_HMR_4135	v2067	2.7.4.8
R_HMR_4168	v2086	3.6.1.19
R_HMR_4168	v2086	3.6.1.8
R_HMR_4171	v2089	2.7.1.40
R_HMR_4290	v2152	3.6.1.5
R_HMR_4417	v2218	3.1.3.5
R_HMR_4418	v2219	2.4.2.8
R_HMR_4419	v2220	1.7.1.7
R_HMR_4421	v2222	2.7.1.40
R_HMR_4449	v2235	3.1.3.5
R_HMR_4452	v2237	2.4.2.8
R_HMR_4480	v2249	2.7.4.11
R_HMR_4480	v2249	2.7.4.3
R_HMR_4481	v2250	3.5.4.4
R_HMR_4482	v2251	3.5.4.4
R_HMR_4486	v2255	2.7.1.1
R_HMR_4487	v2256	2.7.1.1
R_HMR_4488	v2257	2.7.1.1
R_HMR_4489	v2258	2.7.1.1
R_HMR_4492	v2260	2.7.1.1
R_HMR_4493	v2261	2.7.1.1
R_HMR_4520	v2276	1.17.3.2
R_HMR_4573	v2303	2.7.1.40
R_HMR_4574	v2304	2.4.2.1
R_HMR_4600	v2320	2.7.1.113
R_HMR_4611	v2326	1.17.4.1
R_HMR_4615	v2329	1.17.4.1
R_HMR_4617	v2330	1.17.4.1
R_HMR_4618	v2331	1.17.4.1
R_HMR_4632	v2338	3.1.3.5
R_HMR_4651	v2351	2.4.2.15
R_HMR_4651	v2351	2.4.2.1
R_HMR_4663	v2359	2.4.2.1
R_HMR_4694	v2380	3.5.4.4
R_HMR_4695	v2381	2.4.2.1
R_HMR_4695	v2381	2.4.2.4
R_HMR_4709	v2389	2.4.2.1
R_HMR_4709	v2389	2.4.2.4
R_HMR_5301	v2633	2.7.1.48
R_HMR_5353	v2658	2.7.4.8
R_HMR_6603	v2991	1.11.1.7
R_HMR_4016	v2002	2.7.4.6
R_HMR_4018	v2003	2.7.4.6
R_HMR_4044	v2016	2.7.4.6
R_HMR_4291	v2153	2.7.4.6
R_HMR_4570	v2301	2.7.4.6
R_HMR_4006	v1997	2.7.4.6
R_HMR_4028	v2008	2.7.4.6
R_HMR_4673	v2363	2.7.4.6
R_HMR_6614	v2994	2.7.4.6
R_HMR_4635	v2340	2.7.4.6
R_HMR_3931	v1962	1.8.1.9
R_HMR_4008	v1998	2.7.4.14
R_HMR_4008	v1998	2.7.4.4
R_HMR_4032	v2010	6.3.4.2
R_HMR_4127	v2061	3.6.1.8
R_HMR_4127	v2061	3.6.1.9
R_HMR_4127	v2061	3.6.1.45
R_HMR_4177	v2094	3.1.3.5
R_HMR_4182	v2097	2.7.1.-
R_HMR_4210	v2118	2.7.1.40
R_HMR_4343	v2179	2.4.2.9
R_HMR_4510	v2271	3.1.3.5
R_HMR_4512	v2272	2.7.4.14
R_HMR_4579	v2307	2.4.2.3
R_HMR_4676	v2365	2.7.1.48
R_HMR_5299	v2632	2.7.1.48
R_HMR_5352	v2657	2.7.1.48
R_HMR_6621	v3001	1.17.4.1
R_HMR_6622	v3002	1.17.4.1
R_HMR_6623	v3003	2.7.1.21
R_HMR_6627	v3007	2.7.1.40
R_HMR_3966	v1973	3.6.1.19
R_HMR_4024	v2006	2.7.4.14
R_HMR_4024	v2006	2.7.4.25
R_HMR_4054	v2019	2.7.1.21
R_HMR_4180	v2096	2.7.1.48
R_HMR_4516	v2274	3.6.1.12
R_HMR_4641	v2343	2.7.1.21
R_HMR_4680	v2367	2.4.2.23
R_HMR_7161	v3230	2.7.7.6
R_HMR_7161	v3230	2.7.7.19
R_HMR_7161	v3230	2.7.7.52
R_HMR_7162	v3231	2.7.7.8
R_HMR_3804	v1906	1.4.1.3
R_HMR_3827	v1915	2.6.1.1
R_HMR_3829	v1916	2.6.1.1
R_HMR_3831	v1917	4.3.1.1
R_HMR_3890	v1947	6.3.1.2
R_HMR_9802	v4255	3.5.1.2
R_HMR_9802	v4255	3.5.1.38
R_HMR_4115	v2052	3.5.1.3
R_HMR_4118	v2054	1.8.1.7
R_HMR_4172	v2090	3.5.1.1
R_HMR_4172	v2090	3.5.1.38
R_HMR_3806	v1907	1.5.1.12
R_HMR_3835	v1919	1.5.1.2
R_HMR_3837	v1920	1.5.1.2
R_HMR_3838	v1921	1.5.99.8
R_HMR_3956	v1968	4.2.1.1
R_HMR_4191	v2104	4.1.1.19
R_HMR_4423	v2224	1.4.3.10
R_HMR_4423	v2224	1.4.3.6
R_HMR_4776	v2429	1.14.11.2
R_HMR_4777	v2430	1.14.11.2
R_HMR_4787	v2438	4.1.3.16
R_HMR_6930	v3107	2.3.1.57
R_HMR_6932	v3109	1.4.3.6
R_HMR_6932	v3109	1.4.3.21
R_HMR_6932	v3109	1.4.3.22
R_HMR_6964	v3132	1.5.3.11
R_HMR_8427	v3833	2.7.3.2
R_HMR_4285	v2150	1.2.1.24
R_HMR_4285	v2150	1.2.1.16
R_HMR_0457	v227	2.7.1.31
R_HMR_3845	v1925	2.1.2.1
R_HMR_3849	v1927	1.5.3.1
R_HMR_3849	v1927	1.5.99.1
R_HMR_3856	v1930	1.1.1.79
R_HMR_3856	v1930	1.1.1.81
R_HMR_3883	v1945	4.3.1.17
R_HMR_3883	v1945	4.3.1.19
R_HMR_4198	v2110	2.6.1.51
R_HMR_4348	v2183	4.3.1.19
R_HMR_4792	v2439	2.1.2.1
R_HMR_6409	v2868	1.8.1.4
R_HMR_6409	v2868	2.1.2.10
R_HMR_4429	v2227	2.1.1.8
R_HMR_4239	v2126	1.2.4.2
R_HMR_6984	v3142	2.4.1.50
R_HMR_3164	v1496	4.2.1.17
R_HMR_3885	v1946	2.3.1.16
R_HMR_3885	v1946	2.3.1.9
