R_HMR_4099	v1879	6.2.1.1
R_HMR_4137	v1902	1.2.4.1
R_HMR_4137	v1902	2.3.1.12
R_HMR_4137	v1902	1.8.1.4
R_HMR_4137	v1902	1.2.1.51
R_HMR_4388	v2026	1.1.1.27
R_HMR_4379	v2021	2.7.1.11
R_HMR_4301	v1984	2.7.1.11
R_HMR_4355	v2012	4.1.2.13
R_HMR_4358	v2013	2.7.1.40
R_HMR_4360	v2014	1.2.1.49
R_HMR_4370	v2017	3.6.1.7
R_HMR_4377	v2020	3.1.3.11
R_HMR_4381	v2022	5.3.1.9
R_HMR_4391	v2028	5.3.1.1
R_HMR_4394	v2030	2.7.1.1
R_HMR_4394	v2030	2.7.1.2
R_HMR_4394	v2030	2.7.1.147
R_HMR_4396	v2031	5.4.2.2
R_HMR_4396	v2031	5.4.2.5
R_HMR_4396	v2031	5.4.2.6
R_HMR_4396	v2031	5.2.2.2
R_HMR_7745	v3331	5.1.3.3
R_HMR_7747	v3333	2.7.1.147
R_HMR_7749	v3335	5.3.1.9
R_HMR_8587	v3544	3.2.1.20
R_HMR_8584	v3542	3.2.1.10
R_HMR_4128	v1895	5.1.3.2
R_HMR_4131	v1897	2.7.7.12
R_HMR_4592	v2127	1.1.1.21
R_HMR_1568	v671	1.2.1.4
R_HMR_1568	v671	1.2.1.5
R_HMR_3853	v1773	4.4.1.5
R_HMR_3854	v1774	1.1.1.21
R_HMR_3855	v1775	1.1.1.21
R_HMR_4087	v1876	1.1.1.38
R_HMR_4087	v1876	1.1.1.39
R_HMR_4193	v1934	2.7.1.40
R_HMR_4280	v1973	1.1.1.27
R_HMR_3212	v1383	1.3.99.3
R_HMR_4105	v1881	4.1.1.9
R_HMR_4107	v1883	4.1.1.9
R_HMR_4604	v2135	2.3.3.10
R_HMR_4350	v2008	2.7.1.15
R_HMR_4351	v2009	5.3.1.6
R_HMR_4567	v2112	2.7.1.11
R_HMR_4623	v2146	3.1.1.31
R_HMR_3998	v1828	3.6.1.5
R_HMR_3998	v1828	3.6.1.6
R_HMR_4002	v1831	2.7.4.3
R_HMR_4004	v1832	2.7.4.3
R_HMR_4010	v1835	3.1.3.5
R_HMR_4081	v1871	3.1.3.5
R_HMR_4082	v1872	3.1.3.5
R_HMR_4014	v1836	3.1.4.17
R_HMR_4020	v1839	2.7.4.8
R_HMR_4022	v1840	4.6.1.1
R_HMR_4022	v1840	4.6.1.2
R_HMR_4080	v1870	3.5.4.17
R_HMR_4080	v1870	3.5.4.6
R_HMR_4085	v1875	2.4.2.7
R_HMR_4134	v1899	3.6.1.5
R_HMR_4134	v1899	3.6.1.6
R_HMR_4134	v1899	3.6.1.42
R_HMR_4135	v1900	2.7.4.8
R_HMR_4171	v1919	2.7.1.40
R_HMR_4290	v1980	3.6.1.5
R_HMR_4417	v2041	3.1.3.5
R_HMR_4418	v2042	2.4.2.8
R_HMR_4419	v2043	1.7.1.7
R_HMR_4421	v2045	2.7.1.40
R_HMR_4449	v2057	3.1.3.5
R_HMR_4452	v2059	2.4.2.8
R_HMR_4481	v2070	3.5.4.4
R_HMR_4486	v2075	2.7.1.1
R_HMR_4487	v2076	2.7.1.1
R_HMR_4488	v2077	2.7.1.1
R_HMR_4489	v2078	2.7.1.1
R_HMR_4492	v2079	2.7.1.1
R_HMR_4495	v2082	2.7.1.1
R_HMR_4496	v2083	2.7.1.1
R_HMR_4518	v2094	3.5.4.3
R_HMR_4573	v2116	2.7.1.40
R_HMR_4574	v2117	2.4.2.1
R_HMR_4602	v2133	3.1.3.5
R_HMR_4603	v2134	2.4.2.1
R_HMR_4603	v2134	2.4.2.4
R_HMR_4612	v2139	1.17.4.1
R_HMR_4615	v2141	1.17.4.1
R_HMR_4617	v2142	1.17.4.1
R_HMR_4621	v2145	1.17.4.1
R_HMR_4632	v2152	3.1.3.5
R_HMR_4663	v2169	2.4.2.1
R_HMR_4694	v2189	3.5.4.4
R_HMR_4695	v2190	2.4.2.1
R_HMR_4695	v2190	2.4.2.4
R_HMR_4705	v2197	3.1.3.5
R_HMR_6602	v2725	1.11.1.7
R_HMR_6603	v2726	1.11.1.7
R_HMR_4016	v1837	2.7.4.6
R_HMR_4018	v1838	2.7.4.6
R_HMR_4044	v1851	2.7.4.6
R_HMR_4291	v1981	2.7.4.6
R_HMR_4570	v2114	2.7.4.6
R_HMR_4006	v1833	2.7.4.6
R_HMR_4028	v1843	2.7.4.6
R_HMR_4673	v2174	2.7.4.6
R_HMR_6614	v2729	2.7.4.6
R_HMR_4635	v2154	2.7.4.6
R_HMR_3931	v1800	1.8.1.9
R_HMR_4008	v1834	2.7.4.14
R_HMR_4008	v1834	2.7.4.4
R_HMR_4032	v1845	6.3.4.2
R_HMR_4056	v1855	3.1.3.5
R_HMR_4056	v1855	3.1.3.35
R_HMR_4060	v1858	3.6.1.5
R_HMR_4060	v1858	3.6.1.6
R_HMR_4177	v1923	3.1.3.5
R_HMR_4182	v1925	2.7.1.-
R_HMR_4210	v1946	2.7.1.40
R_HMR_4484	v2073	3.1.3.5
R_HMR_4484	v2073	3.1.3.35
R_HMR_4512	v2091	2.7.4.14
R_HMR_4513	v2092	2.7.1.74
R_HMR_4644	v2160	2.1.1.45
R_HMR_6621	v2736	1.17.4.1
R_HMR_6622	v2737	1.17.4.1
R_HMR_6623	v2738	2.7.1.21
R_HMR_6627	v2739	2.7.1.40
R_HMR_3999	v1829	3.6.1.5
R_HMR_4024	v1841	2.7.4.14
R_HMR_4024	v1841	2.7.4.25
R_HMR_4516	v2093	3.6.1.12
R_HMR_4641	v2157	2.7.1.21
R_HMR_4680	v2178	2.4.2.23
R_HMR_7160	v2956	2.7.7.7
R_HMR_7164	v2960	3.1.11.2
R_HMR_3804	v1748	1.4.1.3
R_HMR_3822	v1758	1.5.1.12
R_HMR_3827	v1761	2.6.1.1
R_HMR_3829	v1762	2.6.1.1
R_HMR_3831	v1763	4.3.1.1
R_HMR_3890	v1789	6.3.1.2
R_HMR_9802	v3869	3.5.1.2
R_HMR_9802	v3869	3.5.1.38
R_HMR_4118	v1887	1.8.1.7
R_HMR_4172	v1920	3.5.1.1
R_HMR_4172	v1920	3.5.1.38
R_HMR_4197	v1937	2.6.1.15
R_HMR_4197	v1937	2.6.1.63
R_HMR_6780	v2800	2.6.1.5
R_HMR_6780	v2800	2.6.1.57
R_HMR_6780	v2800	2.6.1.1
R_HMR_3807	v1750	2.6.1.13
R_HMR_3835	v1764	1.5.1.2
R_HMR_3956	v1808	4.2.1.1
R_HMR_4191	v1932	4.1.1.19
R_HMR_4212	v1947	4.1.1.17
R_HMR_4423	v2047	1.4.3.10
R_HMR_4423	v2047	1.4.3.6
R_HMR_4776	v2236	1.14.11.2
R_HMR_4779	v2238	1.5.1.2
R_HMR_6930	v2834	2.3.1.57
R_HMR_6936	v2840	1.4.3.6
R_HMR_6936	v2840	1.4.3.21
R_HMR_6936	v2840	1.4.3.22
R_HMR_6958	v2857	1.5.3.11
R_HMR_4285	v1977	1.2.1.24
R_HMR_4285	v1977	1.2.1.16
R_HMR_3845	v1769	2.1.2.1
R_HMR_3849	v1771	1.5.3.1
R_HMR_3849	v1771	1.5.99.1
R_HMR_3883	v1787	4.3.1.17
R_HMR_3883	v1787	4.3.1.19
R_HMR_3901	v1790	2.1.1.20
R_HMR_4582	v2120	2.1.4.1
R_HMR_4697	v2192	1.2.1.8
R_HMR_4792	v2242	2.1.2.1
R_HMR_6409	v2616	1.8.1.4
R_HMR_6409	v2616	2.1.2.10
R_HMR_4429	v2050	2.1.1.8
R_HMR_5336	v2444	3.5.1.-
R_HMR_4239	v1955	1.2.4.2
R_HMR_4737	v2215	1.2.1.31
R_HMR_6984	v2872	2.4.1.50
R_HMR_4224	v1952	3.7.1.3
R_HMR_6715	v2763	2.1.1.6
R_HMR_6718	v2766	4.1.1.28
R_HMR_6730	v2768	2.1.1.6
R_HMR_6743	v2774	2.1.1.28
R_HMR_6746	v2776	2.1.1.6
R_HMR_6749	v2779	1.2.1.5
R_HMR_6750	v2780	2.1.1.6
R_HMR_6753	v2783	1.2.1.5
R_HMR_6756	v2786	1.1.1.1
R_HMR_6761	v2789	1.2.1.5
R_HMR_6766	v2793	1.2.1.5
